,Dépenses opérationnelles,ETUDES,Cartographie des violations,"Documentation, certification et qualification des violations et incidents",8 Recrutement d'un cabinet de lobbyng chargé d'introduire et faire accepter le Repertoire du FONAREV dans les institutions internationales et gouvernements étrangers,ET,1,1,08,ET.1.1.08,"ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 8 Recrutement d'un cabinet de lobbyng chargé d'introduire et faire accepter le Repertoire du FONAREV dans les institutions internationales et gouvernements étrangers",ET11,"ETUDES  _  Cartographie des violations _  Documentation, certification et qualification des violations et incidents",,RESSOURCES HUMAINES,Immobilisation,Immobilisation,Immobilisation,RH,A0,S00,IM0,RHA0S00IM0,IMMO_RESSOURCES HUMAINES,11,,22500002,22500002_ Matériel informatique et bureautique,,,,ETUDES1,,AUDIT INTERNE 
,Dépenses opérationnelles,ETUDES,Cartographie des violations,"Documentation, certification et qualification des violations et incidents",Amelioration et enrichissement du centre de documentation du musée du GENOCOST via des reliques de l'Est,ET,1,1,09,ET.1.1.09,"ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ Amelioration et enrichissement du centre de documentation du musée du GENOCOST via des reliques de l'Est",ET11,"ETUDES  _  Cartographie des violations _  Documentation, certification et qualification des violations et incidents",,JURIDIQUE,Immobilisation,Immobilisation,Immobilisation,RJ,A0,S00,IM0,RJA0S00IM0,IMMO_JURIDIQUE,12,,22600001,22600001_ Autres immobilisations corporelles diverses,,,,ETUDES1,,RESSOURCES HUMAINES
,Dépenses opérationnelles,ETUDES,Cartographie des violations,"Documentation, certification et qualification des violations et incidents",Constitution d'une banque des données des disparues (appel aux familles),ET,1,1,10,ET.1.1.10,"ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ Constitution d'une banque des données des disparues (appel aux familles)",ET11,"ETUDES  _  Cartographie des violations _  Documentation, certification et qualification des violations et incidents",,SERVICES GENERAUX & ADM,Immobilisation,Immobilisation,Immobilisation,AM,A0,S00,IM0,AMA0S00IM0,IMMO_SERVICES GENERAUX & ADM,13,,,_ ,,,,ETUDES1,,JURIDIQUE
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Mapping des  fosses communes,1.Acquisition des detecteurs des ossements enfui sous terre,ET,1,2,01,ET.1.2.01,ETUDES _ Cartographie des violations _ Mapping des  fosses communes _ 1.Acquisition des detecteurs des ossements enfui sous terre,ET12,ETUDES  _  Cartographie des violations _  Mapping des  fosses communes,,,,,,,,,,,,,,,,,,,ETUDES1,,SERVICES GENERAUX & ADM
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Mapping des  fosses communes,2. Formation  des enqueteurs aux chefs lieux des provinces pour le mapping,ET,1,2,02,ET.1.2.02,ETUDES _ Cartographie des violations _ Mapping des  fosses communes _ 2. Formation  des enqueteurs aux chefs lieux des provinces pour le mapping,ET12,ETUDES  _  Cartographie des violations _  Mapping des  fosses communes,,,,,,,,,,,,,,,,,,,ETUDES1,,PASSATION DE MARCHE
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Mapping des  fosses communes,2. Deploiement des enqueteurs sur terrain,ET,1,2,03,ET.1.2.03,ETUDES _ Cartographie des violations _ Mapping des  fosses communes _ 2. Deploiement des enqueteurs sur terrain,ET12,ETUDES  _  Cartographie des violations _  Mapping des  fosses communes,,,,,,,,,,,,,,,,,,,ETUDES1,,SECURITE
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Mapping des  fosses communes,3.Certification par la communauté à travers les focus group,ET,1,2,04,ET.1.2.04,ETUDES _ Cartographie des violations _ Mapping des  fosses communes _ 3.Certification par la communauté à travers les focus group,ET12,ETUDES  _  Cartographie des violations _  Mapping des  fosses communes,,,,,,,,,,,,,,,,,,,ETUDES1,,GENOCOST
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Mapping des  fosses communes,4. Mission de supervision par les agents du FONAREV,ET,1,2,05,ET.1.2.05,ETUDES _ Cartographie des violations _ Mapping des  fosses communes _ 4. Mission de supervision par les agents du FONAREV,ET12,ETUDES  _  Cartographie des violations _  Mapping des  fosses communes,,,,,,,,,,,,,,,,,,,ETUDES1,,PLAIDOYER INTERNATIONAL
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Mapping des  fosses communes,5. Production de la carte thématique par un Expert,ET,1,2,06,ET.1.2.06,ETUDES _ Cartographie des violations _ Mapping des  fosses communes _ 5. Production de la carte thématique par un Expert,ET12,ETUDES  _  Cartographie des violations _  Mapping des  fosses communes,,,,,,,,,,,,,,,,,,,ETUDES1,,MEDIATION
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Monitoring des violations et massacres recents,1. Recrutement et formation des  29 ONG de monitoring au chef-lieu de chaque province,ET,1,3,01,ET.1.3.01,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 1. Recrutement et formation des  29 ONG de monitoring au chef-lieu de chaque province,ET13,ETUDES  _  Cartographie des violations _  Monitoring des violations et massacres recents,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Monitoring des violations et massacres recents,2. Monitoring par les ONG (Honoraire/mois),ET,1,3,02,ET.1.3.02,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 2. Monitoring par les ONG (Honoraire/mois),ET13,ETUDES  _  Cartographie des violations _  Monitoring des violations et massacres recents,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Monitoring des violations et massacres recents,1. Levée documentaire,ET,1,3,03,ET.1.3.03,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 1. Levée documentaire,ET13,ETUDES  _  Cartographie des violations _  Monitoring des violations et massacres recents,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Monitoring des violations et massacres recents,2. Analyse de l'intention génocidaire dans les faits,ET,1,3,04,ET.1.3.04,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 2. Analyse de l'intention génocidaire dans les faits,ET13,ETUDES  _  Cartographie des violations _  Monitoring des violations et massacres recents,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Monitoring des violations et massacres recents,3. Enquête complémentaire au Nord-Kivu avec les enquêteurs locaux (méthode GRID pour les zones occupées),ET,1,3,05,ET.1.3.05,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 3. Enquête complémentaire au Nord-Kivu avec les enquêteurs locaux (méthode GRID pour les zones occupées),ET13,ETUDES  _  Cartographie des violations _  Monitoring des violations et massacres recents,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Monitoring des violations et massacres recents,4. Finalisation et reporting,ET,1,3,06,ET.1.3.06,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 4. Finalisation et reporting,ET13,ETUDES  _  Cartographie des violations _  Monitoring des violations et massacres recents,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants,1.recrutement des détectives et remuneration,ET,1,4,01,ET.1.4.01,ETUDES _ Cartographie des violations _ Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants _ 1.recrutement des détectives et remuneration,ET14,ETUDES  _  Cartographie des violations _  Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants,2. Authentification des élements matériels par des experts INMC,ET,1,4,02,ET.1.4.02,ETUDES _ Cartographie des violations _ Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants _ 2. Authentification des élements matériels par des experts INMC,ET14,ETUDES  _  Cartographie des violations _  Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants,3. Etude sur les causes profondes des conflits armés et non armés en RDC,ET,1,4,03,ET.1.4.03,ETUDES _ Cartographie des violations _ Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants _ 3. Etude sur les causes profondes des conflits armés et non armés en RDC,ET14,ETUDES  _  Cartographie des violations _  Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Prise de contact avec les services de documentation internationale,1. Prise de contact avec les MINAFET,ET,1,5,01,ET.1.5.01,ETUDES _ Cartographie des violations _ Prise de contact avec les services de documentation internationale _ 1. Prise de contact avec les MINAFET,ET15,ETUDES  _  Cartographie des violations _  Prise de contact avec les services de documentation internationale,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,Prise de contact avec les services de documentation internationale,2. Réunion de cadrage avec les représentations diplomatiques et Séances de travail  avec les services de documentation des départements des Affaires étrangères des pays concernés,ET,1,5,02,ET.1.5.02,ETUDES _ Cartographie des violations _ Prise de contact avec les services de documentation internationale _ 2. Réunion de cadrage avec les représentations diplomatiques et Séances de travail  avec les services de documentation des départements des Affaires étrangères des pays concernés,ET15,ETUDES  _  Cartographie des violations _  Prise de contact avec les services de documentation internationale,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC,1. Sensibilisation des étudiants de 10 établissements de la RDC,ET,1,6,01,ET.1.6.01,ETUDES _ Cartographie des violations _ 'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC _ 1. Sensibilisation des étudiants de 10 établissements de la RDC,ET16,ETUDES  _  Cartographie des violations _  'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC,2.Mise en place du secretariat technique,ET,1,6,02,ET.1.6.02,ETUDES _ Cartographie des violations _ 'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC _ 2.Mise en place du secretariat technique,ET16,ETUDES  _  Cartographie des violations _  'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC,3. Subvention de recherches scientifiques,ET,1,6,03,ET.1.6.03,ETUDES _ Cartographie des violations _ 'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC _ 3. Subvention de recherches scientifiques,ET16,ETUDES  _  Cartographie des violations _  'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Cartographie des violations,'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC,4. Publication scientifique par le secretariat technique,ET,1,6,04,ET.1.6.04,ETUDES _ Cartographie des violations _ 'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC _ 4. Publication scientifique par le secretariat technique,ET16,ETUDES  _  Cartographie des violations _  'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC,,,,,,,,,,,,,,,,,,,ETUDES1,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Obtention de fiches de consentement et Identification des 2500 victimes détentrices d'une décision de justice,Obtention de fiches de consentement et Identification des 2500 victimes détentrices d'une décision de justice,ET,2,1,01,ET.2.1.01,ETUDES _ Identification des victimes _ Obtention de fiches de consentement et Identification des 2500 victimes détentrices d'une décision de justice _ Obtention de fiches de consentement et Identification des 2500 victimes détentrices d'une décision de justice,ET21,ETUDES  _  Identification des victimes _  Obtention de fiches de consentement et Identification des 2500 victimes détentrices d'une décision de justice,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,"1.Mission exploratoire technique, logistique, financier et sécuritaire",ET,2,2,01,ET.2.2.01,"ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 1.Mission exploratoire technique, logistique, financier et sécuritaire",ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,2. Recrutement et test des 200 agents d'identification par province pour quatre mois de travail,ET,2,2,02,ET.2.2.02,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 2. Recrutement et test des 200 agents d'identification par province pour quatre mois de travail,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,3. Installation des CIV par province (Mois),ET,2,2,03,ET.2.2.03,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 3. Installation des CIV par province (Mois),ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,4. Formation des agents d'identification au chef-lieu des provinces,ET,2,2,04,ET.2.2.04,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 4. Formation des agents d'identification au chef-lieu des provinces,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,5. Enregistrement des récits sur le terrain par les enquêteurs locaux,ET,2,2,05,ET.2.2.05,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 5. Enregistrement des récits sur le terrain par les enquêteurs locaux,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,6. Mission de supervision des activités d'identification par les agents du FONAREV,ET,2,2,06,ET.2.2.06,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 6. Mission de supervision des activités d'identification par les agents du FONAREV,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,7. Traitement des données,ET,2,2,07,ET.2.2.07,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 7. Traitement des données,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,Organisation EPI/ Test de cohérence des données (matching avec les incidents) via l'IA (abonnement),ET,2,2,08,ET.2.2.08,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Organisation EPI/ Test de cohérence des données (matching avec les incidents) via l'IA (abonnement),ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,Organisation EPI/ Formation des enquêteurs locaux (125 par province),ET,2,2,09,ET.2.2.09,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Organisation EPI/ Formation des enquêteurs locaux (125 par province),ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,Organisation EPI/ Deploiement et supervision,ET,2,2,10,ET.2.2.10,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Organisation EPI/ Deploiement et supervision,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,Organisation EPI/ Enquete de couverture,ET,2,2,11,ET.2.2.11,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Organisation EPI/ Enquete de couverture,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,Travaux de certification de la LUC/ Validation interne de la LUC par un comité ad hoc,ET,2,2,12,ET.2.2.12,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Travaux de certification de la LUC/ Validation interne de la LUC par un comité ad hoc,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,Travaux de certification de la LUC/ Cadrage méthodologique avec les TGI,ET,2,2,13,ET.2.2.13,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Travaux de certification de la LUC/ Cadrage méthodologique avec les TGI,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,Travaux de certification de la LUC/  Travaux intensifis du comité d'authentification,ET,2,2,14,ET.2.2.14,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Travaux de certification de la LUC/  Travaux intensifis du comité d'authentification,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,Travaux de certification de la LUC/  Travaux intensifs du comité d'homologation,ET,2,2,15,ET.2.2.15,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Travaux de certification de la LUC/  Travaux intensifs du comité d'homologation,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Identication 700.000 victimes ménages ordinaires,Travaux de certification de la LUC/  Reprographie des cartes et notification par des CDD,ET,2,2,16,ET.2.2.16,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Travaux de certification de la LUC/  Reprographie des cartes et notification par des CDD,ET22,ETUDES  _  Identification des victimes _  Identication 700.000 victimes ménages ordinaires,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Poursuite de l'identification des victimes,1. Paiement des honoraires des agents d'identification,ET,2,3,01,ET.2.3.01,ETUDES _ Identification des victimes _ Poursuite de l'identification des victimes _ 1. Paiement des honoraires des agents d'identification,ET23,ETUDES  _  Identification des victimes _  Poursuite de l'identification des victimes,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Poursuite de l'identification des victimes,2.Mission Supervision du processus par les agents du FONAREV,ET,2,3,02,ET.2.3.02,ETUDES _ Identification des victimes _ Poursuite de l'identification des victimes _ 2.Mission Supervision du processus par les agents du FONAREV,ET23,ETUDES  _  Identification des victimes _  Poursuite de l'identification des victimes,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Recensement et identification  des 300.000 déplacées-victimes  dans les camps,1. Mission exploratoire dans les camps des provinces concernées,ET,2,4,01,ET.2.4.01,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ 1. Mission exploratoire dans les camps des provinces concernées,ET24,ETUDES  _  Identification des victimes _  Recensement et identification  des 300.000 déplacées-victimes  dans les camps,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Recensement et identification  des 300.000 déplacées-victimes  dans les camps,2. Formation des 400 agents d'identification,ET,2,4,02,ET.2.4.02,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ 2. Formation des 400 agents d'identification,ET24,ETUDES  _  Identification des victimes _  Recensement et identification  des 300.000 déplacées-victimes  dans les camps,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Recensement et identification  des 300.000 déplacées-victimes  dans les camps,3. Location et installation des 80 tentes faisant office des CIV,ET,2,4,03,ET.2.4.03,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ 3. Location et installation des 80 tentes faisant office des CIV,ET24,ETUDES  _  Identification des victimes _  Recensement et identification  des 300.000 déplacées-victimes  dans les camps,,,,,,,,,,,,,,,,,,,ETUDES2,,
,Dépenses opérationnelles,ETUDES,Identification des victimes,Recensement et identification  des 300.000 déplacées-victimes  dans les camps,4.Mise en place es mesures securitaires dans les camps,ET,2,4,04,ET.2.4.04,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ 4.Mise en place es mesures securitaires dans les camps,ET24,ETUDES  _  Identification des victimes _  Recensement et identification  des 300.000 déplacées-victimes  dans les camps,,,,,,,,,,,,,,,,,,,ETUDES2,,
